2019/11/25 18:39:55.82 work_queue_worker[1] debug: /home/cctools_BRUNO_bin/bin/work_queue_worker version 8.0.0 DEVELOPMENT (released 2019-11-06 16:35:57 +0000)
2019/11/25 18:39:55.82 work_queue_worker[1] debug: Built by root@2546322b0463 on 2019-11-06 16:35:57 +0000
2019/11/25 18:39:55.82 work_queue_worker[1] debug: System: Linux 2546322b0463 5.0.0-32-generic #34~18.04.2-Ubuntu SMP Thu Oct 10 10:36:02 UTC 2019 x86_64 x86_64 x86_64 GNU/Linux
2019/11/25 18:39:55.82 work_queue_worker[1] debug: Configuration: --prefix /home/cctools_BRUNO_bin
2019/11/25 18:39:55.82 work_queue_worker[1] wq: WORK_QUEUE_SANDBOX set to /tmp/worker-0-1.
2019/11/25 18:39:55.82 work_queue_worker[1] debug: error reading disk usage on directory: ./cache.
2019/11/25 18:39:55.82 work_queue_worker[1] dns: looking up name master
2019/11/25 18:39:55.82 work_queue_worker[1] dns: master is 10.0.172.2
2019/11/25 18:39:55.82 work_queue_worker[1] tcp: connecting to 10.0.172.2 port 1026
2019/11/25 18:39:55.82 work_queue_worker[1] tcp: made connection to 10.0.172.2 port 1026
2019/11/25 18:39:55.82 work_queue_worker[1] wq: connected to master master:1026 via local address 10.0.172.9:36180
2019/11/25 18:39:55.82 work_queue_worker[1] wq: preparing workspace /tmp/worker-0-1
2019/11/25 18:39:55.82 work_queue_worker[1] dns: looking up name c10a824c0740
2019/11/25 18:39:55.82 work_queue_worker[1] dns: c10a824c0740 is 10.0.172.9
2019/11/25 18:39:55.82 work_queue_worker[1] dns: looking up addr 10.0.172.9
2019/11/25 18:39:55.82 work_queue_worker[1] dns: 10.0.172.9 is c10a824c0740
2019/11/25 18:39:55.82 work_queue_worker[1] dns: finding my hostname: uname = c10a824c0740, address = 10.0.172.9, hostname = c10a824c0740
2019/11/25 18:39:55.82 work_queue_worker[1] wq: tx to master: workqueue 8 c10a824c0740 Linux x86_64 8.0.0
2019/11/25 18:39:55.82 work_queue_worker[1] wq: tx to master: info worker-id worker-bd58b33dfc8160f50d3b6ed2ab7e8573
2019/11/25 18:39:55.82 work_queue_worker[1] wq: tx to master: info cached_files file-0-d09d93464f183fb37458ff5a8a8a5612-ref.fasta.69
2019/11/25 18:39:55.82 work_queue_worker[1] wq: tx to master: info cached_files file-0-ec2b61782898a8d0b03d68fc63e81229-query.fastq.5
2019/11/25 18:39:55.82 work_queue_worker[1] wq: tx to master: info cached_files file-0-29436c2005b42ffca723272f188a24f3-ref.fasta.35
